2025-02-11T08:13:31.717287-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:13:33.918178-05:00 - INFO - n_sampled = 174602, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [8, 9, 0], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [2, 9, 3], control_func: 15 }], time = 49.953292ms
2025-02-11T08:13:33.958456-05:00 - INFO - n_sampled = 149884, replacement = [Gate { wires: [10, 3, 5], control_func: 15 }, Gate { wires: [3, 2, 4], control_func: 6 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 2, 0], control_func: 9 }], time = 40.264833ms
2025-02-11T08:13:33.998315-05:00 - INFO - n_sampled = 143548, replacement = [Gate { wires: [1, 6, 4], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [5, 1, 4], control_func: 15 }], time = 39.849209ms
2025-02-11T08:13:34.018160-05:00 - INFO - n_sampled = 69468, replacement = [Gate { wires: [0, 1, 4], control_func: 15 }, Gate { wires: [0, 1, 7], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 19.833667ms
2025-02-11T08:13:34.075342-05:00 - INFO - n_sampled = 222399, replacement = [Gate { wires: [4, 8, 3], control_func: 15 }, Gate { wires: [3, 8, 4], control_func: 10 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 5 }], time = 57.173958ms
2025-02-11T08:13:34.162416-05:00 - INFO - n_sampled = 293061, replacement = [Gate { wires: [10, 5, 3], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 5], control_func: 3 }, Gate { wires: [3, 5, 4], control_func: 10 }], time = 87.065917ms
2025-02-11T08:13:34.183326-05:00 - INFO - n_sampled = 66093, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 1, 0], control_func: 0 }, Gate { wires: [3, 2, 0], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 20.903041ms
2025-02-11T08:13:34.247842-05:00 - INFO - n_sampled = 254895, replacement = [Gate { wires: [3, 4, 1], control_func: 12 }, Gate { wires: [1, 7, 6], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 7], control_func: 3 }], time = 64.507125ms
2025-02-11T08:13:34.260621-05:00 - INFO - n_sampled = 54741, replacement = [Gate { wires: [0, 3, 2], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 1, 4], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 12.740583ms
2025-02-11T08:13:34.375338-05:00 - INFO - n_sampled = 423259, replacement = [Gate { wires: [3, 4, 2], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [2, 1, 3], control_func: 15 }, Gate { wires: [3, 9, 0], control_func: 5 }], time = 114.706042ms
