2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:40.224122-05:00 - INFO - n_sampled = 50119, replacement = [Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [0, 2, 3], control_func: 12 }, Gate { wires: [3, 0, 4], control_func: 12 }, Gate { wires: [3, 4, 1], control_func: 3 }], time = 11.693875ms
2025-02-11T08:12:40.372909-05:00 - INFO - n_sampled = 575023, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 1], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 6, 2], control_func: 0 }], time = 148.772333ms
2025-02-11T08:12:40.376285-05:00 - INFO - n_sampled = 13424, replacement = [Gate { wires: [2, 5, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [2, 4, 3], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 3.333417ms
2025-02-11T08:12:40.409904-05:00 - INFO - n_sampled = 122494, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 5, 8], control_func: 7 }, Gate { wires: [0, 8, 5], control_func: 8 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 33.609625ms
2025-02-11T08:12:40.928908-05:00 - INFO - n_sampled = 1959926, replacement = [Gate { wires: [0, 1, 9], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 3, 9], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 518.985458ms
2025-02-11T08:12:41.035102-05:00 - INFO - n_sampled = 397559, replacement = [Gate { wires: [3, 4, 2], control_func: 3 }, Gate { wires: [0, 3, 10], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 9], control_func: 12 }], time = 106.160542ms
2025-02-11T08:12:41.047489-05:00 - INFO - n_sampled = 30226, replacement = [Gate { wires: [3, 0, 7], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [3, 0, 6], control_func: 12 }], time = 12.351125ms
2025-02-11T08:12:41.245-05:00 - INFO - n_sampled = 739705, replacement = [Gate { wires: [1, 2, 3], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 0, 4], control_func: 0 }], time = 197.499125ms
2025-02-11T08:12:41.255811-05:00 - INFO - n_sampled = 46813, replacement = [Gate { wires: [0, 2, 1], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 4, 2], control_func: 0 }], time = 10.801375ms
2025-02-11T08:12:41.446193-05:00 - INFO - n_sampled = 664849, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [7, 1, 3], control_func: 1 }, Gate { wires: [7, 1, 3], control_func: 1 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 190.368375ms
2025-02-11T08:12:42.273949-05:00 - INFO - n_sampled = 3144031, replacement = [Gate { wires: [3, 0, 4], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 5, 9], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 827.68575ms
2025-02-11T08:12:42.373336-05:00 - INFO - n_sampled = 376479, replacement = [Gate { wires: [0, 1, 3], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 12 }], time = 99.285417ms
2025-02-11T08:12:42.556259-05:00 - INFO - n_sampled = 672310, replacement = [Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 2, 7], control_func: 12 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 3, 1], control_func: 0 }], time = 182.883125ms
2025-02-11T08:12:42.903840-05:00 - INFO - n_sampled = 1270524, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [0, 2, 4], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 14 }, Gate { wires: [3, 4, 0], control_func: 7 }], time = 347.5105ms
2025-02-11T08:12:43.357150-05:00 - INFO - n_sampled = 1711302, replacement = [Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [0, 5, 2], control_func: 0 }, Gate { wires: [0, 1, 5], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 453.289791ms
2025-02-11T08:12:43.479940-05:00 - INFO - n_sampled = 462756, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 4, 0], control_func: 4 }, Gate { wires: [0, 1, 6], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 1 }], time = 122.727625ms
2025-02-11T08:12:43.660587-05:00 - INFO - n_sampled = 653212, replacement = [Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [0, 1, 8], control_func: 12 }, Gate { wires: [0, 2, 6], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 180.63375ms
2025-02-11T08:12:44.178910-05:00 - INFO - n_sampled = 1912671, replacement = [Gate { wires: [0, 2, 8], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 5, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 518.250209ms
