2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:35.829993-05:00 - INFO - n_sampled = 21977, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 7, 8], control_func: 7 }, Gate { wires: [0, 8, 7], control_func: 8 }], time = 7.631375ms
2025-02-11T08:14:37.301506-05:00 - INFO - n_sampled = 5145549, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 8, 5], control_func: 0 }, Gate { wires: [3, 7, 0], control_func: 10 }, Gate { wires: [3, 4, 0], control_func: 3 }], time = 1.471469791s
2025-02-11T08:14:37.418578-05:00 - INFO - n_sampled = 369299, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 3, 4], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [0, 5, 2], control_func: 0 }], time = 116.956375ms
2025-02-11T08:14:37.451698-05:00 - INFO - n_sampled = 88780, replacement = [Gate { wires: [0, 3, 1], control_func: 0 }, Gate { wires: [0, 1, 3], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 33.051167ms
2025-02-11T08:14:37.540162-05:00 - INFO - n_sampled = 263915, replacement = [Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 4, 2], control_func: 5 }, Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [3, 2, 0], control_func: 10 }], time = 88.402ms
2025-02-11T08:14:37.638382-05:00 - INFO - n_sampled = 193277, replacement = [Gate { wires: [0, 7, 1], control_func: 10 }, Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [3, 0, 10], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 98.099792ms
2025-02-11T08:14:37.953132-05:00 - INFO - n_sampled = 1074003, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 1, 10], control_func: 0 }, Gate { wires: [3, 0, 6], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 12 }], time = 314.691834ms
2025-02-11T08:14:38.230674-05:00 - INFO - n_sampled = 941204, replacement = [Gate { wires: [0, 10, 4], control_func: 11 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [0, 10, 4], control_func: 11 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 277.45475ms
2025-02-11T08:14:38.597125-05:00 - INFO - n_sampled = 1290016, replacement = [Gate { wires: [0, 1, 9], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [0, 9, 2], control_func: 10 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 366.386667ms
2025-02-11T08:14:38.715113-05:00 - INFO - n_sampled = 358644, replacement = [Gate { wires: [0, 2, 6], control_func: 0 }, Gate { wires: [0, 5, 1], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 117.826792ms
2025-02-11T08:14:38.839680-05:00 - INFO - n_sampled = 440004, replacement = [Gate { wires: [0, 2, 3], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [3, 8, 0], control_func: 0 }], time = 124.507917ms
2025-02-11T08:14:38.865930-05:00 - INFO - n_sampled = 70702, replacement = [Gate { wires: [3, 2, 6], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [0, 2, 3], control_func: 12 }], time = 26.1985ms
2025-02-11T08:14:39.071920-05:00 - INFO - n_sampled = 756851, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [8, 3, 0], control_func: 3 }, Gate { wires: [8, 10, 3], control_func: 5 }], time = 205.936125ms
2025-02-11T08:14:39.168946-05:00 - INFO - n_sampled = 362820, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 1 }, Gate { wires: [3, 4, 0], control_func: 13 }, Gate { wires: [3, 0, 1], control_func: 3 }], time = 96.975541ms
2025-02-11T08:14:39.280479-05:00 - INFO - n_sampled = 410037, replacement = [Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 2, 8], control_func: 13 }, Gate { wires: [0, 2, 8], control_func: 14 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 111.515708ms
2025-02-11T08:14:40.242356-05:00 - INFO - n_sampled = 3152707, replacement = [Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [0, 3, 9], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 961.803167ms
